Activity,Type,Unit,kg CO2e,kg CO2e of CO2 per unit,kg CO2e of CH4 per unit,kg CO2e of N2O per unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorbike,Small,km,  0.08319,  0.08094,  0.00175,  0.00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.13389,  0.13027,  0.00282,  0.00080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medium,km,  0.10108,  0.09826,  0.00228,  0.00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.16266,  0.15813,  0.00367,  0.00085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Large,km,  0.13252,  0.13072,  0.00127,  0.00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.21326,  0.21037,  0.00204,  0.00085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,km,  0.11367,  0.11138,  0.00177,  0.00052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,miles,  0.18294,  0.17925,  0.00284,  0.00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
